Designator,Mid X,Mid Y,Rotation,Layer
BZ1,92.2,-145.0,0.0,top
C1,109.0,-145.0,90.0,top
C2,117.0,-149.5,0.0,top
J2,110.73,-154.5,270.0,top
J3,110.73,-138.0,270.0,top
Q1,103.0,-145.0,0.0,top
R1,110.0,-150.0,0.0,top
R2,120.5,-145.5,90.0,top
R3,119.0,-141.0,180.0,top
U1,113.975,-145.365,270.0,top
